"domainID","siteID","horizontalPosition","verticalPosition","date","wssRHMean","wssRHMinimum","wssRHMaximum","wssRHVariance","wssRHStdErMean","wssRHNumPts","RHQF","wssDewTempMean","wssDewTempMinimum","wssDewTempMaximum","wssDewTempVariance","wssDewTempStdErMean","wssDewTempNumPts","dewTempQF"
"D01","HARV",0,60,2017-03-04,43.59,25.94,87.74,134.22,0.04,75697,1,-20.555,-25.22,-11.08,11.395,0.012,75708,1
"D01","HARV",0,60,2017-04-06,96.23,87.02,99.06,8.92,0.01,70981,1,0.355,-0.42,1.57,0.377,0.002,78298,1
"D01","HARV",0,60,2017-04-18,52.18,28.96,71.66,182.44,0.05,78584,1,-2.652,-5.64,0.67,3.56,0.007,78584,1
"D01","HARV",0,60,2017-04-26,98.31,95.65,99.4,0.83,0,44193,1,8.191,4.98,12.18,6.892,0.009,78193,1
"D01","HARV",0,60,2017-04-29,,33.87,77.57,,,78055,1,10.222,4.95,12.96,4.033,0.007,78055,1
"D01","HARV",0,60,2017-05-11,59.19,35.86,80.32,134.13,0.04,78432,1,0.892,-0.58,4.38,1.57,0.004,78432,1
"D01","HARV",0,60,2017-05-15,84.03,55.39,98.1,272.61,0.06,78145,1,5.696,4.72,7.81,0.417,0.002,78145,1
"D01","HARV",0,60,2017-05-20,44.08,20.18,73.59,362.45,0.07,78461,1,0.069,-5.36,8.76,12.742,0.013,78461,1
"D01","HARV",0,60,2017-06-01,70.22,32.3,98.73,558.74,0.08,78084,1,9.241,3.57,13.92,6.49,0.009,78084,1
"D01","HARV",0,60,2017-06-12,48.84,29.3,65.86,82.81,0.03,77936,1,15.14,12.82,17.75,0.801,0.003,77936,1
"D01","HARV",0,60,2017-06-13,58.37,39.72,75.79,61.17,0.03,77878,1,17.305,15.62,20.28,0.827,0.003,77878,1
"D01","HARV",0,60,2017-06-20,79.19,41.76,99.1,421.58,0.07,78029,1,16.439,10.9,19.32,6.457,0.009,78029,1
"D01","HARV",0,60,2017-06-22,55.48,36.42,75.23,111.81,0.04,78013,1,10.151,7.78,12.74,1.194,0.004,78013,1
"D01","HARV",0,60,2017-06-23,71.52,43.18,93.49,178.73,0.05,77783,1,16.908,11.78,21.05,5.101,0.008,77783,1
"D01","HARV",0,60,2017-06-24,78.63,45.96,98.74,386.08,0.07,77807,1,18.089,10.57,21.65,11.024,0.012,77807,1
"D01","HARV",0,60,2017-06-25,58.98,41.23,96.83,99.26,0.04,77996,1,11.459,9.09,14.23,0.678,0.003,77996,1
"D01","HARV",0,60,2017-06-28,68.19,39.88,94.26,360.23,0.07,78088,1,8.701,6.09,10.95,0.774,0.003,78088,1
"D01","HARV",0,60,2017-07-09,68.02,36.02,92.9,355.1,0.07,77915,1,12.737,7.63,17.29,4.771,0.008,77915,1
"D01","HARV",0,60,2017-07-10,59.93,36.56,82.72,148.77,0.04,77901,1,12.558,9.42,15.33,0.825,0.003,77901,1
"D01","HARV",0,60,2017-07-15,83.26,50.83,99.81,289.23,0.06,70263,1,15.822,14.2,18.7,0.872,0.003,78114,1
"D01","HARV",0,60,2017-07-17,69.27,48.03,92.47,144.43,0.04,77937,1,17.181,14.54,19.36,1.387,0.004,77937,1
"D01","HARV",0,60,2017-07-18,79.82,55.66,99.19,143.07,0.04,75987,1,19.224,17.3,21.62,0.969,0.004,75987,1
"D01","HARV",0,60,2017-07-20,63.07,48.58,78.67,36.04,0.02,77776,1,17.52,14.43,21.23,3.177,0.006,77776,1
"D01","HARV",0,60,2017-07-24,85.4,60.15,98.75,200.4,0.05,78066,1,10.485,8.76,12.69,0.771,0.003,78066,1
"D01","HARV",0,60,2017-07-29,63.72,49.02,78.56,67.02,0.03,78013,1,9.698,8.19,13.7,1.067,0.004,78013,1
"D01","HARV",0,60,2017-08-04,83.56,59.63,99.63,144.01,0.04,78395,1,18.209,16.517,20.45,0.528,0.003,78395,1
"D01","HARV",0,60,2017-08-07,76.37,63.4,92.19,46.91,0.02,77330,1,12.896,10.61,16.043,2.239,0.005,77330,1
"D01","HARV",0,60,2017-08-10,66.32,39.39,94.83,150.55,0.04,77956,1,15.083,11.978,18.001,1.413,0.004,77956,1
"D01","HARV",0,60,2017-08-14,63.13,43.65,82.72,75.09,0.03,78257,1,13.497,11.214,17.558,1.289,0.004,78257,1
"D01","HARV",0,60,2017-08-15,88.19,76.73,99.46,26.69,0.02,78263,1,17.269,15.212,18.854,0.901,0.003,78263,1
"D01","HARV",0,60,2017-08-16,78.68,48.07,99.65,346.96,0.07,78150,1,15.885,11.652,19.039,4.721,0.008,78150,1
"D01","HARV",0,60,2017-08-17,58.56,34.23,82.76,142.31,0.04,77270,1,9.74,6.375,12.305,1.088,0.004,77270,1
"D01","HARV",0,60,2017-08-20,67.85,44.79,86.1,147.42,0.04,78151,1,14.693,10.567,17.761,3.58,0.007,78151,1
"D01","HARV",0,60,2017-08-21,67.7,50.79,86.68,62.17,0.03,78156,1,15.339,13.378,18.851,1.987,0.005,78156,1
"D01","HARV",0,60,2017-09-08,82.67,55.15,99.95,169.46,0.05,79144,0,9.947,8.041,12.569,0.459,0.002,79144,1
"D01","HARV",0,60,2017-09-13,61.5,37.69,87.36,113.01,0.04,78132,1,11.895,8.55,14.134,0.926,0.003,78132,1
"D01","HARV",0,60,2017-09-18,90.83,76.45,100.02,45.95,0.02,78295,1,16.715,15.059,18.351,0.49,0.003,78295,1
"D01","HARV",0,60,2017-09-23,53.82,35.7,63.37,51.83,0.03,77846,1,10.415,7.649,15.062,3.787,0.007,77846,1
"D01","HARV",0,60,2017-09-25,72.81,53.79,89.08,69.04,0.04,52584,1,18.786,17.796,21.019,0.339,0.003,52584,1
"D01","HARV",0,60,2017-09-28,71.24,43.2,99.1,357.41,0.07,79070,1,13.002,4.355,21.636,40.21,0.023,79070,1
"D01","HARV",0,60,2017-10-01,73.77,39.84,96.35,262.74,0.06,79529,1,4.23,0.718,6.69,1.566,0.004,79529,1
"D01","HARV",0,60,2017-10-05,73.28,47.27,93.27,210.62,0.05,78274,1,12.507,7.296,14.327,2.372,0.006,78274,1
"D01","HARV",0,60,2017-10-08,93.52,85.51,99.25,10.92,0.01,78307,1,18.703,16.185,21.099,1.864,0.005,78307,1
"D01","HARV",0,60,2017-10-10,80.3,45.42,99.84,296.75,0.06,77608,1,15.038,8.739,21.119,11.323,0.012,77608,1
"D01","HARV",0,60,2017-10-11,76.19,62.47,86.16,41.95,0.02,77948,1,11.065,5.62,13.021,2.095,0.005,77948,1
"D01","HARV",0,60,2017-10-12,64.39,44.29,82.97,90.02,0.03,73658,1,2.548,-0.328,6.677,3.036,0.006,73658,1
"D01","HARV",0,60,2017-10-18,61.97,37.21,83.05,160.93,0.05,78944,1,3.384,-0.98,7.016,5.209,0.008,78944,1
"D01","HARV",0,60,2017-10-19,63.11,32.6,88.63,275.46,0.06,76452,1,6.564,1.998,9.007,2.165,0.005,76452,1
"D01","HARV",0,60,2017-10-24,92.5,72.93,98.09,31.34,0.02,78489,1,16.455,13.72,17.946,1.045,0.004,78489,1
"D01","HARV",0,60,2017-11-02,87.24,70.12,99.79,70.34,0.03,75825,1,10.275,3.366,13.301,10.239,0.012,75825,1
"D01","HARV",0,60,2017-11-03,86.85,63.35,95.89,66.39,0.03,77719,1,12.628,2.335,15.209,6.498,0.009,77719,1
"D01","HARV",0,60,2017-11-22,84.62,65.03,98.32,108.26,0.04,78213,1,2.79,-1.853,6.694,3.679,0.007,78213,1
"D01","HARV",0,60,2017-11-28,58.63,35.76,79.18,154.18,0.04,78775,1,-10.03,-12.167,-1.229,4.241,0.007,78775,1
"D01","HARV",0,60,2017-12-01,84.22,65.99,99.3,105.97,0.04,74405,1,1.392,-2.054,4.675,3.689,0.007,78447,1
"D01","HARV",0,60,2017-12-11,69.65,53.31,82.64,67.71,0.03,78785,1,-6.962,-8.801,-5.683,0.825,0.003,78785,1
"D01","HARV",0,60,2017-12-19,84.2,64.76,94.06,88.61,0.03,78256,1,-0.719,-2.382,1.05,1.233,0.004,78256,1
"D01","HARV",0,60,2017-12-23,97.17,92.79,100.1,3.22,0.01,64746,1,-3.764,-7.431,0.308,5.695,0.009,78500,1
"D01","HARV",0,60,2017-12-24,86.39,67.67,100.09,105.33,0.04,78791,1,-3.546,-6.77,0.684,6.276,0.009,78791,1
